Carriers,Country,Arrival,Departure,Duration(mins),Number of stops,Price,Price (Original Currency),Book
"['Malaysia Airlines', 'Malaysia Airlines']",MY,2016-10-16T16:35:00,2016-10-15T21:15:00,1580,1,528.5080406688542,1603.1757357008173,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fMY%2fms-my%2fMYR%2fa178%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32080%7c610%7c16292%7c2016-10-15T21%3a15%7c13311%7c2016-10-15T22%3a15%3bflight%7c-32080%7c4%7c13311%7c2016-10-16T09%3a50%7c13554%7c2016-10-16T16%3a35%26carriers%3d-32080%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1603.18%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d56f80434-46a9-4332-9a05-3473afb7cfa7%26deeplink_ids%3dap-northeast-1.prod_82af21e1815817f86a431b9e0326479b%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T07%3a34%3a50
"['Malaysia Airlines', 'Malaysia Airlines']",ID,2016-10-16T16:35:00,2016-10-15T21:15:00,1580,1,530.4478716047525,4997978.0,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fID%2fid-id%2fIDR%2fnusa%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32080%7c610%7c16292%7c2016-10-15T21%3a15%7c13311%7c2016-10-15T22%3a15%3bflight%7c-32080%7c4%7c13311%7c2016-10-16T09%3a50%7c13554%7c2016-10-16T16%3a35%26carriers%3d-32080%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d4997978.00%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d9cdacac6-5dca-45e5-b4c6-ae21fc2dfe95%26deeplink_ids%3dap-northeast-1.prod_8fb1b1c42b8ce6c364a24f99d6e184d8%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T07%3a36%3a15
"['Malaysia Airlines', 'Malaysia Airlines']",MY,2016-10-15T16:35:00,2016-10-15T06:40:00,1015,1,544.2805338640247,1651.02,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fMY%2fms-my%2fMYR%2fat24%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32080%7c602%7c16292%7c2016-10-15T06%3a40%7c13311%7c2016-10-15T07%3a40%3bflight%7c-32080%7c4%7c13311%7c2016-10-15T09%3a50%7c13554%7c2016-10-15T16%3a35%26carriers%3d-32080%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1651.02%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d56f80434-46a9-4332-9a05-3473afb7cfa7%26deeplink_ids%3dap-northeast-1.prod_141c47755a46f11b9a8591aa1e9a701f%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a38
"['Malaysia Airlines', 'Malaysia Airlines']",SG,2016-10-16T16:35:00,2016-10-15T21:15:00,1580,1,557.55,557.55,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fSG%2fen-gb%2fSGD%2flmsg%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32080%7c610%7c16292%7c2016-10-15T21%3a15%7c13311%7c2016-10-15T22%3a15%3bflight%7c-32080%7c4%7c13311%7c2016-10-16T09%3a50%7c13554%7c2016-10-16T16%3a35%26carriers%3d-32080%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d557.55%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3dd27c4fca-8333-4e32-a681-a6669d9afeb2%26deeplink_ids%3dap-northeast-1.prod_77b16eb684c183017ff94637979e4293%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T07%3a34%3a53
['Garuda Indonesia'],SG,2016-10-15T18:55:00,2016-10-15T12:00:00,835,0,639.6,639.6,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fSG%2fen-gb%2fSGD%2fedsg%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32283%7c86%7c16292%7c2016-10-15T12%3a00%7c13554%7c2016-10-15T18%3a55%26carriers%3d-32283%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d639.60%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3dd27c4fca-8333-4e32-a681-a6669d9afeb2%26deeplink_ids%3dap-northeast-1.prod_930a027467a6f8f3332cbff2887c8b12%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T11%3a03%3a49
['Garuda Indonesia'],MY,2016-10-15T18:55:00,2016-10-15T12:00:00,835,0,653.7122325812802,1982.97,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fMY%2fms-my%2fMYR%2fat24%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32283%7c86%7c16292%7c2016-10-15T12%3a00%7c13554%7c2016-10-15T18%3a55%26carriers%3d-32283%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d1982.97%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d56f80434-46a9-4332-9a05-3473afb7cfa7%26deeplink_ids%3dap-northeast-1.prod_72abb5bdabe8778ce3d2809708bd7d04%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a38
['Garuda Indonesia'],ID,2016-10-15T18:55:00,2016-10-15T12:00:00,835,0,654.2404414974236,6164374.5000279,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fID%2fid-id%2fIDR%2fat24%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32283%7c86%7c16292%7c2016-10-15T12%3a00%7c13554%7c2016-10-15T18%3a55%26carriers%3d-32283%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d6164374.50%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d9cdacac6-5dca-45e5-b4c6-ae21fc2dfe95%26deeplink_ids%3dap-northeast-1.prod_72abb5bdabe8778ce3d2809708bd7d04%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a38
"['Thai Airways', 'Thai Airways']",MY,2016-10-16T07:15:00,2016-10-15T15:55:00,1340,1,674.4909039780225,2046.0,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fMY%2fms-my%2fMYR%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c414%7c16292%7c2016-10-15T15%3a55%7c9970%7c2016-10-15T17%3a15%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d2046.00%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d56f80434-46a9-4332-9a05-3473afb7cfa7%26deeplink_ids%3dap-northeast-1.prod_bc80d087b4e14d6bd3ad429a2eb85372%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
"['Thai Airways', 'Thai Airways']",MY,2016-10-16T07:15:00,2016-10-15T12:25:00,1550,1,674.4909039780225,2046.0,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fMY%2fms-my%2fMYR%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c404%7c16292%7c2016-10-15T12%3a25%7c9970%7c2016-10-15T13%3a45%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d2046.00%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d56f80434-46a9-4332-9a05-3473afb7cfa7%26deeplink_ids%3dap-northeast-1.prod_ad5ab23185be524ab122d6c469aa0055%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
"['Thai Airways', 'Thai Airways']",ID,2016-10-16T07:15:00,2016-10-15T12:25:00,1550,1,675.0359023604636,6360313.180258442,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fID%2fid-id%2fIDR%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c404%7c16292%7c2016-10-15T12%3a25%7c9970%7c2016-10-15T13%3a45%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d6360313.18%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d9cdacac6-5dca-45e5-b4c6-ae21fc2dfe95%26deeplink_ids%3dap-northeast-1.prod_ad5ab23185be524ab122d6c469aa0055%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
